"id","finisheddate","party","elected","occupation","redevelop_con","republican","democrat","election_partisan","success","failure","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_exFrBmnqTVPvDLL","7/25/12 9:59",1,2,1,0,1,0,0,1,0,0,7,1
"R_0p8Xq73emWBieUZ","8/14/12 12:22",1,2,2,1,1,0,0,1,0,1,4,0
"R_4YGR4VPQAuxnzEN","8/6/12 15:01",2,2,1,1,0,1,0,1,0,1,,
"R_blsIr8o1Tyhk0HH","8/6/12 10:31",3,,,,0,0,,,,,6,0
"R_4NlZf4cajDLfPRb","7/25/12 10:41",1,2,2,1,1,0,0,1,0,1,4,0
"R_81W9n2Mf7UPrih7","7/25/12 12:04",3,3,2,1,0,0,1,0,1,0,4,0
"R_cA2hXtiASH3nJfn","8/15/12 16:21",3,2,2,0,0,0,0,1,0,0,4,0
"R_8j4pbHPQ7sH9ug5","7/26/12 8:27",2,2,2,0,0,1,0,1,0,1,7,1
"R_b7KFWhywqyDdABT","7/26/12 14:04",2,3,2,0,0,1,1,1,0,1,4,
"R_4GXgOIWKafmPF41","7/27/12 14:30",1,2,2,1,1,0,0,0,1,1,5,0
"R_3xdeuXq3NofOh6J","8/16/12 0:50",1,3,2,1,1,0,1,1,0,1,5,0
"R_5dbNenfQKIpuZTv","7/25/12 16:47",,,,,,,,,,,4,0
"R_2uzc8sNuADVfKS1","8/7/12 22:00",3,2,2,1,0,0,0,0,1,1,7,1
"R_6YbxYNWaJjrghE1","8/6/12 20:31",1,2,2,1,1,0,0,0,1,1,5,0
"R_3ZSl4hK7JQANkQB","8/9/12 9:36",2,2,2,1,0,1,0,0,1,1,5,0
"R_cGv6aXbzGKtxQ4R","8/14/12 16:46",2,2,2,1,0,1,0,0,1,1,4,0
"R_eQGtNoc2bR037AF","8/14/12 13:58",1,2,2,1,1,0,0,1,0,1,5,0
"R_6Am9sUofdPAB4ep","8/6/12 9:29",2,2,2,1,0,1,0,1,0,0,5,0
"R_ey7gbvT86PBxTbn","7/25/12 22:01",2,3,2,1,0,1,1,0,1,1,4,0
"R_3ZXBCLwKKqdSgPb","7/26/12 23:38",,,,,,,,,,,4,0
"R_5BalGGDuujIyfgp","8/15/12 9:33",2,3,2,1,0,1,1,1,0,1,,
"R_7Og9uOPTXghoYLz","7/25/12 10:49",2,2,2,0,0,1,0,0,1,1,4,0
"R_eG9ZwrQANX1iuOh","7/25/12 16:31",3,2,1,0,0,0,0,0,1,0,5,0
"R_9ZbzYwuwSFgm7hr","8/6/12 16:49",1,2,2,0,1,0,0,1,0,1,4,0
"R_3f6f3FOlp4T2cSx","8/13/12 19:48",2,2,1,1,0,1,0,0,1,0,5,0
"R_eUTo8Rbgx578Xu5","8/9/12 20:52",2,2,2,1,0,1,0,1,0,1,5,0
"R_56f4VsnyEywdZjv","8/6/12 12:24",2,2,2,1,0,1,0,1,0,1,5,0
"R_ezI6LJ6yZ7HbUXz","8/15/12 10:14",2,2,1,1,0,1,0,0,1,1,4,0
"R_6nuBuEa57nQJ0s5","8/9/12 17:57",2,-99,1,1,0,1,,0,1,0,4,0
"R_eeCbhoX9b7utgyN","7/26/12 0:49",1,2,2,1,1,0,0,0,1,1,5,0
