"id","finisheddate","party","elected","occupation","foreclosure_problem","republican","democrat","election_partisan","treatment_republican","treatment_democrat","matched_party","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_3JbhNvoEW1plkCV","8/14/12 9:59",5,-99,2,0,0,0,,0,1,,0,4,0
"R_02RpKm4fWonmU9T","8/6/12 22:46",2,2,2,1,0,1,0,0,1,1,1,,
"R_aeLWMI1XAWV5aOp","8/10/12 23:13",3,2,2,0,0,0,0,0,1,,1,5,0
"R_5iHPUIPr6swzAxf","8/7/12 16:37",1,2,2,1,1,0,0,1,0,1,0,5,0
"R_byjhHPL3dLpmyfr","8/14/12 15:02",1,2,2,0,1,0,0,0,1,0,1,5,0
"R_5nF248hB6uwkGQB","8/27/12 23:39",,,,,,,,,,,,5,0
"R_a629rrR7wCMptn7","8/6/12 9:03",1,2,2,0,1,0,0,0,1,0,1,4,0
"R_e9VEdpu1qgwJ6KN","8/6/12 8:56",2,3,2,0,0,1,1,0,1,1,1,4,0
"R_cOAMnN6Im435UcR","8/6/12 15:51",1,2,2,1,1,0,0,1,0,1,1,5,0
"R_d0uCDSfBagF6W7b","8/14/12 10:45",1,2,2,0,1,0,0,1,0,1,0,5,0
"R_e8O8D7OPZptQLmB","8/8/12 11:33",1,2,2,1,1,0,0,0,1,0,,5,0
"R_b2XlMhdNTqWPLy5","8/6/12 16:53",1,-99,2,0,1,0,,1,0,1,0,5,0
"R_eEUoZW5sx5XmbSB","8/7/12 10:57",1,2,1,0,1,0,0,0,1,0,1,7,1
"R_1FwQr2TeBDDabOZ","8/9/12 13:53",2,2,2,1,0,1,0,0,1,1,1,5,0
"R_5dJn30ROxbA7eol","8/14/12 15:12",1,2,2,1,1,0,0,1,0,1,1,5,0
"R_6gvmbThWULrJ7qR","8/24/12 11:07",1,,,,1,0,,,,,,6,0
"R_dp8CSJMJDaqqobH","8/14/12 10:25",2,3,2,0,0,1,1,0,1,1,1,4,0
"R_40EkHWRgm3Wt2h7","8/15/12 0:22",2,3,2,0,0,1,1,1,0,0,1,4,0
"R_dck13hUWUf2ctnv","8/14/12 10:34",1,3,1,1,1,0,1,0,1,0,1,7,0
"R_8oY2Q2yd9hDGeRT","8/10/12 9:27",2,3,2,0,0,1,1,0,1,1,1,7,0
"R_1ZYB3DdBKXAxCaF","8/6/12 20:45",3,2,1,0,0,0,0,0,1,,1,5,0
"R_6ROldNiSs75Yzop","8/6/12 11:30",1,2,2,1,1,0,0,1,0,1,1,5,0
"R_56lV0nZv2Sp9DEN","8/6/12 9:06",2,3,2,0,0,1,1,0,1,1,0,5,0
"R_3dQxypEG8FHkKup","8/15/12 12:02",1,3,2,0,1,0,1,1,0,1,0,4,
"R_2awrKTycf8y5Bfn","8/6/12 13:16",1,3,2,0,1,0,1,1,0,1,,4,0
"R_3w30BGEJ85XXsR7","8/13/12 13:35",,,,,,,,,,,,4,0
"R_40mzawY8lYqpUvb","8/7/12 12:41",1,2,2,1,1,0,0,0,1,0,0,4,0
"R_3WPBSPmy2vi58dD","8/28/12 11:51",3,2,2,1,0,0,0,1,0,,1,4,0
"R_8v31LH43oZo9Md7","8/28/12 14:08",,2,2,0,,,0,0,1,,0,4,0
"R_6eVLJVZNJCCS9Ol","8/14/12 11:11",,,,,,,,,,,,4,0
"R_6WIVvMuEGf3LKF7","8/14/12 10:31",1,2,1,1,1,0,0,0,1,0,0,4,0
"R_09vcCOukpuHmtcF","8/24/12 10:35",1,2,2,1,1,0,0,0,1,0,0,4,0
"R_1BUMPX43Y6SYavr","8/12/12 11:12",1,2,2,0,1,0,0,0,1,0,1,4,0
"R_4OBKXeQu6COnYRn","8/27/12 12:43",3,2,2,0,0,0,0,1,0,,0,4,0
"R_7ZMICBATblwhbYV","8/24/12 18:47",3,2,2,0,0,0,0,1,0,,1,4,0
"R_aasMXhOkeriBt65","8/14/12 10:17",5,2,2,0,0,0,0,1,0,,1,4,0
"R_cu9ynpWWN4iLtWt","8/6/12 11:17",1,2,2,0,1,0,0,1,0,1,0,4,0
"R_7OLkS9pvWmlWwAd","8/6/12 16:16",2,2,2,1,0,1,0,0,1,1,1,4,0
"R_1EPhxgMOx7gntop","8/25/12 2:34",,,,,,,,,,,,5,0
"R_6SxuWRzKUjYP9Wd","8/6/12 17:08",3,2,2,0,0,0,0,1,0,,0,4,0
"R_8jENNsgjr5hgJ4F","8/14/12 14:48",3,3,2,1,0,0,1,0,1,,0,4,0
"R_eJKKpDtiq78c5G5","8/27/12 8:58",,,,,,,,,,,,5,0
"R_1NXFBTwW1CDbJYN","8/6/12 11:17",3,-99,2,0,0,0,,1,0,,0,4,0
"R_e2UaJc5vXQBdBQN","8/24/12 13:26",1,2,2,0,1,0,0,0,1,0,0,4,0
"R_4VBcGE0LIlMbidf","8/14/12 11:21",1,2,2,0,1,0,0,1,0,1,1,4,0
"R_aXFUmUxOJdJi2pf","8/7/12 15:53",1,2,2,1,1,0,0,0,1,0,1,5,0
"R_23tfEWzdqvUnbox","8/7/12 14:19",2,2,2,0,0,1,0,1,0,0,1,5,0
"R_0HC3z1qGBawMOYR","8/24/12 11:01",2,2,2,0,0,1,0,1,0,0,0,5,0
"R_51tBoOGMY12g1Lv","8/24/12 11:17",1,2,2,0,1,0,0,1,0,1,0,5,0
"R_elIqVphkp7ZF9Jj","8/15/12 15:13",1,2,2,0,1,0,0,0,1,0,0,4,0
"R_39Nw4TL67O8IngF","8/6/12 14:06",,2,2,1,,,0,,,,,4,
"R_3Q5TlE6XOKrIL77","8/14/12 11:57",,,,,,,,,,,,5,0
"R_cUDZsoxH3Ff4QOF","8/6/12 8:59",1,3,2,1,1,0,1,1,0,1,1,4,0
"R_6srSL1xcTp2WcVn","8/14/12 10:28",3,2,2,0,0,0,0,1,0,,1,5,0
"R_5pqIxtDYp0Bv0a1","8/14/12 12:27",1,2,1,0,1,0,0,0,1,0,0,5,0
"R_0NElNkNVnzVOwQd","8/15/12 22:08",3,2,2,0,0,0,0,1,0,,1,5,0
"R_4GiaEmAo5pSH27z","8/6/12 10:58",1,3,1,1,1,0,1,0,1,0,0,,
"R_dhAUkeX7tjiDqT3","8/20/12 17:10",2,,,,0,1,,,,,,5,0
"R_a4Pul7JbJklQ3Jz","8/6/12 10:57",3,2,2,0,0,0,0,1,0,,0,5,0
"R_5cNOruTQIDvdSv3","8/14/12 21:18",5,2,2,0,0,0,0,1,0,,0,4,0
"R_4ZvTwQs2ZfNMxeJ","8/6/12 11:21",2,2,2,0,0,1,0,0,1,1,1,5,0
"R_eXLOY0zzQYG6mOx","8/14/12 15:04",2,2,2,0,0,1,0,1,0,0,0,5,0
"R_0I0GB33uMU5DdIh","8/6/12 9:38",1,2,2,1,1,0,0,1,0,1,1,4,0
"R_7NwGyiKw2gBxhoF","8/6/12 14:00",1,2,2,1,1,0,0,1,0,1,1,4,0
"R_bwHofsg2znSjrJb","8/6/12 9:14",1,3,1,0,1,0,1,1,0,1,1,7,1
"R_3RgfWEcsuv7ot5b","8/7/12 1:57",,-99,-99,,,,,1,0,,,,
