"name","removed","time","time_edit","time_removed","time_alive","round","state","class","party","lengthofincumbency","leadership","committeechair","pagechar","population","region","locked","block","treatment_pre_order","influence","republican","term","living","treat_final","treatment_post_order"
"Sherrod Brown","13:32, 7 November 2014","04:53, 7 November 2014",11/7/2014 04:53:02,11/7/2014 13:32:57,31195136,5,"Ohio",1,"Democratic",2007,,,229033,11536504,"MW",0,16,79,0,0,,,3,51
"Susan Collins","13:18, 7 November 2014","16:04, 6 November 2014",11/6/2014 16:04:04,11/7/2014 13:17:39,76414976,5,"Maine",2,"Republican",1997,,,262550,1328361,"NE",0,2,21,0,1,,,4,1
"Tammy Baldwin","NO","17:44, 7 November 2014",11/7/2014 17:44:10,,,5,"Wisconsin",1,"Democratic",2013,,,219047,5686986,"MW",1,23,45,0,0,,,1,99
"Ted Cruz","18:51, 6 November 2014","10:06, 6 November 2014",11/6/2014 10:05:48,11/6/2014 18:50:06,31457280,5,"Texas",1,"Republican",2013,,,352005,25145561,"S",1,24,95,0,1,,,1,26
"Thad Cochran","13:31, 7 November 2014","16:46, 6 November 2014",11/6/2014 16:45:35,11/7/2014 13:30:46,74711040,5,"Mississippi",2,"Republican",1978,,"Ranking - Agriculture, Nutrition, & Forestry",191442,2967297,"S",0,16,62,1,1,,,3,16
"Tim Johnson","NO","05:44, 7 November 2014",11/7/2014 05:43:16,,,5,"South Dakota",2,"Democratic",1997,,"Chair - Banking, Housing, & Urban Affairs",30392,814180,"MW",0,2,82,1,0,,,1,65
"Tim Kaine","20:28, 6 November 2014","18:27, 6 November 2014",11/6/2014 18:26:04,11/6/2014 20:28:24,7340032,5,"Virginia",1,"Democratic",2013,,,276726,8001024,"S",0,6,68,0,0,,,3,39
"Tim Scott","13:49, 7 November 2014","05:14, 7 November 2014",11/7/2014 05:14:52,11/7/2014 13:48:14,30801920,5,"South Carolina",3,"Republican",2013,,,212444,4625364,"S",0,3,37,0,1,,,3,57
"Tom Carper","13:14, 7 November 2014","18:45, 6 November 2014",11/6/2014 18:45:44,11/7/2014 13:13:17,66453504,5,"Delaware",1,"Democratic",2001,,"Chair - Homeland Security & Governmental Affairs",218073,897934,"S",0,17,48,1,0,,,1,47
"Tom Coburn","19:07, 6 November 2014","18:41, 6 November 2014",11/6/2014 18:41:21,11/6/2014 19:07:34,1572864,5,"Oklahoma",3,"Republican",2005,,"Ranking - Homeland Security",337029,3751351,"S",0,15,65,1,1,,,4,45
"Tom Harkin","NO","17:20, 7 November 2014",11/7/2014 17:20:08,,,5,"Iowa",2,"Democratic",1985,,"Chair - Health, Education, Labor & Pensions",284160,3046355,"MW",0,6,100,1,0,,,3,88
"Tom Udall","07:02, 7 November 2014","05:27, 7 November 2014",11/7/2014 05:27:59,11/7/2014 07:01:55,5636096,5,"New Mexico",2,"Democratic",2009,,,135487,2059179,"W",0,21,11,0,0,,,3,61
"Al Franken","19:40, 15 July 2014","19:39, 15 July 2014",7/15/2014 19:39:13,7/15/2014 19:39:13,0,1,"Minnesota",2,"Democratic-Farmer-Labor",2009,,,337187,5303925,"MW",0,15,,0,0,,,2,
"Amy Klobuchar","02:47, 14 July 2014","22:03, 13 July 2014",7/13/2014 22:02:00,7/14/2014 02:45:59,17039360,1,"Minnesota",1,"Democratic-Farmer-Labor",2007,,,200691,5303925,"MW",0,21,,0,0,,,4,
"Angus King","20:05, 15 July 2014","20:35, 8 July 2014",7/8/2014 20:34:23,7/15/2014 20:05:26,603062272,1,"Maine",1,"Independent",2013,,,192119,1328361,"NE",0,24,,0,0,,,1,
